fever,cough,headache,fatigue,sore_throat,runny_nose,vomiting,diarrhea,skin_rash,joint_pain,muscle_pain,shortness_of_breath,chest_pain,sneezing,loss_of_smell,loss_of_taste,abdominal_pain,bleeding,weight_loss,night_sweats,chills,sweating,itching,swelling,dizziness,blurred_vision,numbness,back_pain,toothache,ear_pain,eye_pain,palpitations,frequent_urination,thirst,frequent_hunger,insomnia,anxiety,depression_symptom,confusion,bruising,hair_loss,swollen_lymph_nodes,jaundice,nausea,loss_of_appetite,blood_in_stool,blood_in_urine,painful_urination,sputum_production,wheezing,hoarseness,chest_tightness,rapid_heartbeat,cold_hands_feet,facial_pain,nasal_congestion,reduced_smell,ear_discharge,red_eye,eye_discharge,sensitivity_to_light,sensitivity_to_sound,tremor,difficulty_speaking,difficulty_swallowing,inability_to_move_limb,weakness_one_side,slurred_speech,memory_loss,difficulty_breathing_while_lying_down,loss_of_balance,leg_cramps,frequent_bowel_movements,constipation,bloated_abdomen,acid_reflux,bad_breath,bad_taste,excessive_hunger,excessive_thirst,excessive_urination_at_night,skin_peeling,cold_sweats,pale_skin,yellow_eyes,joint_stiffness,limited_mobility,skin_flaking,pimple_lesions,muscle_weakness,joint_swelling,nose_bleed,bleeding_gums,mouth_ulcers,voice_change,other_symptom_1,other_symptom_2,other_symptom_3,other_symptom_4,other_symptom_5,other_symptom_6,other_symptom_7,other_symptom_8,other_symptom_9,other_symptom_10,other_symptom_11,other_symptom_12,other_symptom_13,other_symptom_14,other_symptom_15,other_symptom_16,other_symptom_17,other_symptom_18,other_symptom_19,other_symptom_20,other_symptom_21,other_symptom_22,other_symptom_23,other_symptom_24,other_symptom_25,other_symptom_26,other_symptom_27,other_symptom_28,other_symptom_29,other_symptom_30,other_symptom_31,other_symptom_32,other_symptom_33,other_symptom_34,other_symptom_35,other_symptom_36,other_symptom_37,disease,description,precaution,severity_level
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIV,"HIV causes characteristic symptoms and may require medical or supportive care
depending on severity. Diagnosis is based on clinical evaluation and, if needed,
investigations. Follow medical advice for appropriate treatment.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",severe
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Malaria,"Malaria is an infectious disease often acquired from vectors or contaminated
food/water. It can cause high fever, body pains and gastrointestinal or systemic
symptoms. Prompt diagnosis and appropriate treatment are important to avoid
complications.","Seek prompt medical evaluation and testing; start specific treatment as advised.
Ensure good hydration and follow public health recommendations to prevent
spread.",severe
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Malaria,"Malaria is an infectious disease often acquired from vectors or contaminated
food/water. It can cause high fever, body pains and gastrointestinal or systemic
symptoms. Prompt diagnosis and appropriate treatment are important to avoid
complications.","Seek prompt medical evaluation and testing; start specific treatment as advised.
Ensure good hydration and follow public health recommendations to prevent
spread.",severe
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Common Cold,"Common Cold commonly affects the respiratory system causing cough, fever and
related symptoms. Severity varies and the illness can range from mild to severe
depending on the cause and host factors. Seek care if breathing becomes
difficult or symptoms worsen.","Rest, stay hydrated and use over-the-counter medications for symptom relief.
Isolate if contagious and seek care if breathing difficulty or high fever
occurs.",mild
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ear Infection,"Ear Infection causes characteristic symptoms and may require medical or
supportive care depending on severity. Diagnosis is based on clinical evaluation
and, if needed, investigations. Follow medical advice for appropriate treatment.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",moderate
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Dengue,"Dengue is an infectious disease often acquired from vectors or contaminated
food/water. It can cause high fever, body pains and gastrointestinal or systemic
symptoms. Prompt diagnosis and appropriate treatment are important to avoid
complications.","Seek prompt medical evaluation and testing; start specific treatment as advised.
Ensure good hydration and follow public health recommendations to prevent
spread.",severe
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Salmonella Infection,"Salmonella Infection is an infectious disease often acquired from vectors or
contaminated food/water. It can cause high fever, body pains and
gastrointestinal or systemic symptoms. Prompt diagnosis and appropriate
treatment are important to avoid complications.","Seek prompt medical evaluation and testing; start specific treatment as advised.
Ensure good hydration and follow public health recommendations to prevent
spread.",moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sprain,"Sprain is a potentially serious or emergency condition that requires prompt
medical attention. Early recognition and treatment can prevent severe outcomes.
Do not delay seeking emergency care when signs are present.","Immobilize the affected area and seek orthopedic or urgent care evaluation.
Follow recommended imaging and treatment plans.",moderate
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Diabetes,"Diabetes is a chronic medical condition that affects metabolic or circulatory
systems. It requires medical evaluation and long-term management to prevent
complications. Regular monitoring and adherence to treatment plans are
essential.","Follow prescribed medication and lifestyle advice; attend regular follow-up and
monitoring. Seek medical review for uncontrolled symptoms or complications.",moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Migraine,"Migraine is a neurological/mental health condition that can significantly affect
quality of life. Symptoms are recurrent and management may include medications
and lifestyle measures. Seek specialist care for persistent or severe symptoms.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",moderate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asthma,"Asthma commonly affects the respiratory system causing cough, fever and related
symptoms. Severity varies and the illness can range from mild to severe
depending on the cause and host factors. Seek care if breathing becomes
difficult or symptoms worsen.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",moderate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chickenpox,"Chickenpox causes characteristic symptoms and may require medical or supportive
care depending on severity. Diagnosis is based on clinical evaluation and, if
needed, investigations. Follow medical advice for appropriate treatment.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",moderate
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stroke,"Stroke is a potentially serious or emergency condition that requires prompt
medical attention. Early recognition and treatment can prevent severe outcomes.
Do not delay seeking emergency care when signs are present.","Call emergency services or go to the nearest hospital immediately; do not wait.
Follow emergency care instructions and avoid oral intake if surgery may be
required.",severe
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Measles,"Measles causes characteristic symptoms and may require medical or supportive
care depending on severity. Diagnosis is based on clinical evaluation and, if
needed, investigations. Follow medical advice for appropriate treatment.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",moderate
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Attack,"Heart Attack is a potentially serious or emergency condition that requires
prompt medical attention. Early recognition and treatment can prevent severe
outcomes. Do not delay seeking emergency care when signs are present.","Call emergency services or go to the nearest hospital immediately; do not wait.
Follow emergency care instructions and avoid oral intake if surgery may be
required.",severe
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bronchitis,"Bronchitis commonly affects the respiratory system causing cough, fever and
related symptoms. Severity varies and the illness can range from mild to severe
depending on the cause and host factors. Seek care if breathing becomes
difficult or symptoms worsen.","Rest, stay hydrated and use over-the-counter medications for symptom relief.
Isolate if contagious and seek care if breathing difficulty or high fever
occurs.",moderate
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hypertension,"Hypertension is a chronic medical condition that affects metabolic or
circulatory systems. It requires medical evaluation and long-term management to
prevent complications. Regular monitoring and adherence to treatment plans are
essential.","Follow prescribed medication and lifestyle advice; attend regular follow-up and
monitoring. Seek medical review for uncontrolled symptoms or complications.",moderate
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conjunctivitis,"Conjunctivitis causes characteristic symptoms and may require medical or
supportive care depending on severity. Diagnosis is based on clinical evaluation
and, if needed, investigations. Follow medical advice for appropriate treatment.","Seek medical advice if symptoms persist or worsen; use supportive care measures
as appropriate. Follow prevention and hygiene measures to reduce risk.",mild
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anemia,"Anemia is a chronic medical condition that affects metabolic or circulatory
systems. It requires medical evaluation and long-term management to prevent
complications. Regular monitoring and adherence to treatment plans are
essential.","Follow prescribed medication and lifestyle advice; attend regular follow-up and
monitoring. Seek medical review for uncontrolled symptoms or complications.",moderate
